filename,width,height,class,xmin,ymin,xmax,ymax
2u_jpg.rf.e5fb3c10cb068aae59cdceb4e5377673.jpg,224,138,cat-ringworm,68,35,163,137
33e_png.rf.e95f8e6596cdad22cadb84e92f18432f.jpg,140,224,cat-ringworm,0,35,139,189
2009-2652-Yegar-M-Canis-Cafhwas_jpg.rf.fcbed35cce216f2e6967528e4571f726.jpg,224,206,cat-ringworm,2,6,217,179
44e_png.rf.edca32194ab945df55da8452e026036b.jpg,224,150,cat-ringworm,13,38,199,149
44w_png.rf.f5fadacda05767c3150810b52b1fe376.jpg,167,224,cat-ringworm,0,9,166,223
36p_png.rf.f9f32d1c90e396f4d86381de17e45413.jpg,98,224,cat-ringworm,0,7,97,152
2009-2652-Yegar-M-Canis-Cafhw_jpg.rf.f12e76361d1511bd4a7fb1265ef9fe2b.jpg,205,223,cat-ringworm,0,34,156,195
32t_png.rf.faff9eae495f3f1db156fe0c07e969ae.jpg,125,224,cat-ringworm,0,64,107,184
46w_png.rf.efd9b931f0b448f482a33f22b198d198.jpg,224,208,cat-ringworm,25,0,223,206
3s_png.rf.fb8d6daeabbdb4ca907413368cb9f403.jpg,223,205,cat-ringworm,33,61,203,203
33w_png.rf.eeac8189c37bcab3196eef27085fe46d.jpg,224,219,cat-ringworm,0,43,172,218
2o_jpg.rf.ecf2f7950715c57332a348d0baa3d2dc.jpg,210,224,cat-ringworm,37,27,185,194
37_PNG.rf.e673b8306361b8ded18f251cf475674d.jpg,224,133,cat-ringworm,22,22,140,116
44e_png.rf.fcd79641e833bdeca2fcd4c21916e350.jpg,224,150,cat-ringworm,30,26,222,149
32qu_png.rf.f91ffbf4b6178fa09d53c6585a2a377b.jpg,224,164,cat-ringworm,27,15,152,158
36p_png.rf.f0a8c79e271aae3bfd382026d7935f84.jpg,98,224,cat-ringworm,0,3,97,158
1w_png.rf.effa85249b457505082c1b4cac05abe9.jpg,224,196,cat-ringworm,71,65,170,193
00c178a207df75148d0925bafa570632718a934f_jpg.rf.f2d6d56bc7e3f6ef7f9f9f19face403c.jpg,224,149,cat-ringworm,37,6,164,137
49w_png.rf.e742b617a14326488b699a39f0b20fd3.jpg,146,224,cat-ringworm,0,63,145,223
36y_png.rf.fe486bc4a316a5dcf175becc8507b3af.jpg,158,224,cat-ringworm,2,18,155,171
1t_png.rf.f00162e666c33ebfb63221e0ed88d5f8.jpg,224,147,cat-ringworm,71,33,163,143
33_PNG.rf.f4d8363dc53a207950e515567a3242c9.jpg,224,189,cat-ringworm,1,0,223,188
33q_png.rf.e703973845d2a6aabd72a28aca573f44.jpg,224,119,cat-ringworm,124,0,223,80
41_PNG.rf.f68463fb0d4092504a299ff4d7c3300d.jpg,223,168,cat-ringworm,54,9,172,141
42q_png.rf.f95c6e731220e7e6061ee647b0f0e29a.jpg,224,130,cat-ringworm,2,12,223,129
0db6879c_RWBacka_jpeg.rf.fae5ed0f903ef83550e9ef582defcc85.jpg,224,185,cat-ringworm,52,27,151,117
43_PNG.rf.fe5dbde08098fe0cf90d3d9cef6826b2.jpg,165,223,cat-ringworm,46,56,152,166
1a_png.rf.ff9e8a4aa1cebc214230c3247e951c3c.jpg,218,224,cat-ringworm,39,18,208,161
33qw_png.rf.00d7ad08c4ab9b0940bf90699c79df63.jpg,158,224,cat-ringworm,0,33,157,196
1_PNG.rf.058037a337afa6bf63870ae2dd27a3b4.jpg,194,224,cat-ringworm,7,72,125,201
3s_png.rf.072d1457082acefc0cb7ab5bb53fae43.jpg,223,205,cat-ringworm,11,4,158,178
